ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
BFS,reits,35.37,67.96,50.36,17.82,38.57,-0.011438892233594067,-0.041438892233594066,4,R3
BG,consumer_staples,62.04,74.5,27.31,93.88,73.68,-0.1722894122639509,-0.1801037518692685,10,R3
BGCP,non_bank_financial,30.63,58.27,25.74,35.27,41.67,-0.3,-0.3278972148839899,3,R3
BGNE,healthcare,55.25,58.0,41.0,74.63,55.56,0.024118429807052477,0.006371333057897496,8,R3
BGS,consumer_staples,30.21,58.47,29.71,18.75,42.11,-0.327433628318584,-0.3572752624191799,3,R3
BHC,healthcare,38.31,39.13,53.18,23.11,72.97,-0.0174563591022443,-0.0474563591022443,4,R3
BHE,tech_hardware,36.58,53.91,21.54,79.29,32.31,0.670548459804658,0.640548459804658,4,R3
BHVN,healthcare,31.0,2.22,21.44,,57.69,-0.14205607476635507,-0.17085287499695143,3,R3
BIGC,tech_software,32.34,19.27,29.51,55.96,40.6,-0.37410071942446044,-0.40410071942446046,3,R3
BIIB,healthcare,40.35,76.0,36.0,35.07,46.12,-0.4248946941299223,-0.43232610133247484,5,R3
BILL,tech_software,54.58,15.22,68.35,100.0,5.64,0.019732810393430666,0.0014635961105598817,8,R3
BIO,healthcare,25.53,4.33,68.27,34.91,22.13,0.058409984824553396,0.0430728030797152,2,R3
BJRI,consumer_disc,38.89,32.45,21.3,64.92,60.0,-0.04415440155512351,-0.07363217967263362,4,R3
BKD,healthcare,37.8,27.27,17.97,21.12,96.88,-0.1597938144329898,-0.1897938144329898,4,R3
BKE,consumer_disc,48.53,67.07,97.38,43.73,35.53,0.16769685568395598,0.14357262598778475,7,R3
BKI,tech_software,47.86,22.19,60.4,38.07,71.99,-0.3,-0.30684767233428617,7,R3
BKNG,consumer_disc,72.78,36.71,96.57,70.83,85.0,0.34788226848528336,0.34224254739763904,10,R3
BL,tech_software,40.61,9.05,60.17,53.67,43.8,-0.10858424087123641,-0.13097635965839735,5,R3
BLBD,consumer_disc,48.15,11.79,14.21,76.28,94.92,0.5478486646884271,0.517848664688427,7,R3
BLCO,healthcare,34.18,24.34,46.56,35.85,59.84,0.04103165298944922,0.013763447936060134,3,R3
BLFS,healthcare,3.04,0.0,24.57,,17.21,0.6375384615384616,0.6075384615384616,1,R3
BLK,non_bank_financial,42.46,24.63,62.73,54.14,29.55,0.20505417966676598,0.1992388401026056,5,R3
BLKB,tech_software,34.26,19.1,35.96,29.36,69.74,-0.13944636678200695,-0.16081713037083561,3,R3
BLMN,consumer_disc,63.04,96.88,37.96,,68.57,-0.5727810650887575,-0.5937710610251535,10,R3
BLND,tech_software,13.12,0.0,5.95,0.46,83.08,0.3176470588235294,0.28764705882352937,1,R3
BLTE,healthcare,30.95,3.37,60.08,,41.44,0.21245901639344256,0.18245901639344256,3,R3
BMBL,consumer_disc,25.75,15.91,47.72,64.29,13.33,-0.4871099050203528,-0.5140135342604399,2,R3
BMEA,healthcare,54.39,11.44,33.69,,90.31,-0.7258953168044078,-0.7558953168044078,8,R3
BMI,tech_hardware,54.72,14.0,77.95,77.13,70.77,0.35356860679483826,0.3338235438420796,8,R3
BMRN,healthcare,45.19,28.93,30.0,55.22,47.11,-0.3011823273179839,-0.30843416810083046,6,R3
BMY,healthcare,44.97,87.23,69.82,38.56,10.81,0.15560439560439554,0.15062859842700999,6,R3
BNFT,tech_software,18.39,6.0,32.99,,41.94,-0.3,-0.32999999999999996,1,R3
BOOT,consumer_disc,58.04,48.51,57.99,60.51,75.0,1.034132360604481,1.015082924684019,9,R3
BOX,tech_software,39.94,46.33,78.3,43.12,17.48,0.20343615775087853,0.18625555615568046,5,R3
BPMC,healthcare,49.14,26.0,69.0,58.96,48.84,-0.05214657415437973,-0.07283326935169128,7,R3
BPMP,energy,31.54,46.43,75.68,,14.19,-0.3,-0.3267484716023626,3,R3
BR,industrials,59.69,35.08,61.65,59.49,87.5,0.09376576213053567,0.08645162326746518,9,R3
BRBR,consumer_staples,60.59,18.98,69.77,81.25,96.49,0.2810752300198449,0.2652664093769865,9,R3
BRKR,healthcare,47.64,48.19,62.71,52.59,46.72,-0.17046703296703292,-0.18128987984721429,7,R3
