ticker,valuation_score_A,quality_score_A,growth_score_A,sentiment_score_A,potential_score_A,valuation_score_B,quality_score_B,growth_score_B,sentiment_score_B,potential_score_B
DRVN,13.15,50.86,63.1,84.48,46.43,21.91,17.24,29.08,84.48,29.77
DSKE,51.05,39.74,62.79,63.46,44.2,53.4,39.1,60.47,63.46,43.94
DSP,40.71,41.63,75.11,39.32,47.95,42.91,79.8,73.3,39.32,54.7
DT,50.33,84.42,74.66,53.1,67.97,40.55,85.8,81.0,53.1,70.27
DTE,46.8,4.44,4.88,71.43,25.93,48.33,4.44,4.88,71.43,26.41
DTM,8.33,36.84,,75.0,35.69,8.33,39.47,,75.0,36.37
DUK,64.7,93.33,51.22,57.14,68.32,65.21,93.33,53.66,57.14,69.09
DUOL,6.82,66.61,92.45,100.0,69.92,3.22,51.72,94.34,100.0,66.88
DV,63.92,78.54,73.76,11.13,56.22,64.41,80.87,70.59,11.13,55.13
DVA,75.48,72.7,34.31,58.06,54.48,79.17,72.7,40.62,58.06,57.55
DVAX,46.57,42.98,16.2,43.58,23.5,41.13,40.65,15.38,43.58,22.3
DVN,49.45,44.0,42.67,33.8,41.49,49.33,50.98,30.9,33.8,40.77
DX,39.39,52.98,99.67,85.03,65.25,35.69,62.45,52.92,85.03,52.2
DXC,97.71,39.75,6.17,22.64,35.67,97.04,25.93,4.96,22.64,31.69
DXCM,21.64,71.59,73.2,21.67,45.32,22.54,71.55,78.47,21.67,47.35
DXPE,,,,,,,,,,
DY,43.85,57.71,59.31,73.21,54.9,36.24,49.63,62.45,73.21,51.9
DYN,17.25,,,60.45,39.97,17.57,,,60.45,40.05
EA,61.5,80.51,12.22,60.04,39.36,57.97,81.53,18.1,60.04,42.1
EAT,74.29,49.12,36.58,100.0,60.93,75.0,44.74,39.64,100.0,61.26
EBAY,43.0,80.58,35.69,85.53,57.85,42.8,81.1,37.52,85.53,58.54
EBF,94.85,72.65,22.55,41.59,48.5,94.85,67.39,47.46,41.59,54.66
EBS,96.3,24.69,,19.51,39.25,94.64,24.56,,19.51,38.6
ECHO,34.27,22.44,,63.46,38.3,34.27,25.64,,63.46,39.44
ECL,16.14,64.44,75.63,75.56,55.11,16.04,64.44,74.25,75.56,54.75
ECOM,70.81,73.65,,44.98,62.32,70.59,75.99,,44.98,63.18
ED,56.52,51.11,39.02,51.02,49.01,56.52,51.11,39.02,51.02,49.01
EDR,11.36,55.96,85.19,51.61,51.58,3.85,58.06,81.48,51.61,49.23
EEFT,74.9,32.4,46.51,50.94,47.85,75.16,31.72,44.19,50.94,47.05
EFC,46.44,63.19,,84.35,55.46,46.37,63.18,,84.35,55.43
EFX,23.06,64.04,37.24,62.26,43.81,23.76,65.98,39.35,62.26,45.1
EG,,,,,,,,,,
EGP,13.22,59.48,76.55,48.98,47.42,15.13,63.35,72.8,48.98,47.83
EGY,28.21,36.0,76.52,23.19,27.29,51.26,19.61,73.35,23.19,31.14
EHAB,25.0,30.52,9.19,70.97,22.05,35.42,27.18,9.38,70.97,24.12
EHC,61.48,87.99,66.67,93.55,73.97,59.58,86.26,83.33,93.55,78.98
EIX,51.28,22.22,92.68,4.08,45.16,50.26,20.0,92.68,4.08,44.17
EL,11.28,66.35,9.38,9.26,25.37,10.88,66.98,6.81,9.26,24.96
ELAN,59.07,49.55,43.89,70.73,51.6,50.6,47.63,43.89,70.73,49.23
ELF,11.15,79.37,100.0,7.41,44.96,11.06,79.37,100.0,7.41,44.93
ELS,25.83,57.41,44.09,43.54,40.4,25.35,64.82,26.79,43.54,36.83
EMBC,83.24,61.7,,31.71,48.11,86.31,65.57,,31.71,50.19
EME,55.35,72.29,69.49,67.86,64.67,54.86,73.18,66.96,67.86,64.01
EMN,71.47,45.56,33.24,42.22,47.75,71.61,51.11,33.93,42.22,49.1
EMR,59.69,84.0,78.22,67.26,71.87,58.09,80.17,51.13,67.26,62.4
ENB,18.3,39.47,20.88,77.63,38.15,19.19,42.11,18.89,77.63,38.64
ENBL,55.91,50.0,,28.29,45.39,55.2,50.0,,28.29,45.1
ENFN,15.96,50.83,62.44,69.89,49.52,15.77,49.09,61.99,69.89,48.94
ENLC,47.51,34.21,50.0,32.89,38.81,47.29,36.84,46.67,32.89,38.68
ENPH,62.86,70.06,32.96,6.52,37.25,64.52,70.78,23.72,6.52,34.54
ENR,90.69,54.42,40.32,18.84,48.27,90.07,57.27,32.62,18.84,46.52
ENS,70.53,43.07,75.81,24.64,52.94,94.36,46.89,65.34,24.64,56.79
ENSG,25.24,74.05,74.88,80.65,62.04,28.33,77.39,67.71,80.65,60.86
ENTG,43.69,43.63,62.36,21.74,42.71,44.92,42.9,58.04,21.74,41.33
ENV,28.85,44.5,17.19,49.82,26.51,1.97,16.54,16.29,49.82,17.45
ENVA,,,,,,,,,,
ENVX,0.0,2.38,98.02,1.77,20.36,0.0,2.38,99.01,1.77,20.66
EOG,61.17,68.0,78.57,45.61,60.8,60.8,72.55,79.07,45.61,61.72
EOLS,0.0,28.92,88.46,29.27,32.51,0.0,29.43,88.46,29.27,32.59
EPAC,9.11,30.63,63.37,59.29,35.36,8.56,31.52,60.4,59.29,34.56
EPAM,46.16,81.85,48.7,24.53,48.97,46.88,81.85,48.78,24.53,49.18
EPC,83.75,47.05,47.92,18.52,48.4,83.38,48.3,46.94,18.52,48.48
EPD,42.66,31.58,41.86,60.53,44.06,41.6,34.21,27.78,60.53,41.7
EPR,49.67,75.39,34.32,97.96,55.92,54.26,69.25,53.69,97.96,61.69
EPRT,21.51,48.43,89.4,90.48,56.68,25.28,71.22,85.76,90.48,62.52
EQH,,,,,,,,,,
EQIX,12.53,47.11,56.57,81.63,43.45,11.88,45.4,60.22,81.63,43.93
EQR,42.82,57.56,32.87,53.74,43.73,41.31,61.54,33.25,53.74,44.4
EQRX,19.56,,,48.98,31.85,19.91,,,48.98,31.93
EQT,7.4,58.0,37.52,94.17,45.58,7.65,66.67,33.54,94.17,46.77
ERAS,19.32,47.33,,52.01,35.13,19.59,47.49,,52.01,35.23
ERII,33.51,75.47,36.75,26.55,33.56,28.4,76.07,35.87,26.55,32.15
ES,45.76,97.78,31.71,53.06,57.68,48.31,97.78,31.71,53.06,58.46
ESAB,39.17,57.67,45.0,84.96,51.09,37.53,57.37,53.12,84.96,53.03
ESI,44.64,57.78,,35.56,42.11,45.19,58.89,,35.56,42.63
ESLT,28.0,54.6,,81.58,50.39,27.73,53.7,,81.58,49.97
ESMT,16.0,56.84,98.64,44.98,67.33,15.09,59.86,96.83,44.98,66.89
ESRT,48.8,47.74,25.58,14.29,31.39,45.65,50.6,43.13,14.29,36.55
ESS,40.79,62.22,37.31,57.14,46.13,40.59,70.21,38.93,57.14,48.61
ESTA,0.0,31.84,22.33,35.83,11.83,0.0,33.86,23.3,35.83,12.49
ESTC,20.17,44.27,75.57,17.34,49.15,12.94,49.23,73.76,17.34,48.34
ESTE,13.88,52.0,85.71,62.58,42.16,13.88,58.82,86.05,62.58,43.66
ET,60.11,23.68,96.67,39.47,52.64,58.88,26.32,93.33,39.47,52.17
ETD,64.52,90.54,10.74,75.68,44.65,65.21,92.79,24.83,75.68,50.1
ETN,20.01,68.1,71.54,45.13,51.59,19.5,71.4,66.35,45.13,50.73
ETNB,8.88,,,46.01,27.0,8.47,,,46.01,26.91
ETR,18.07,54.44,7.32,100.0,36.66,17.56,54.44,9.76,100.0,37.11
ETRN,41.24,81.58,56.67,21.05,44.64,41.86,81.58,53.33,21.05,44.25
ETSY,50.65,76.17,43.11,57.89,53.45,44.17,69.4,45.07,57.89,51.47
ETWO,25.14,24.85,,43.61,21.89,26.75,27.83,,43.61,23.44
EU,17.42,3.31,,2.17,0.0,20.74,2.22,,2.17,0.0
EVA,,,,,,,,,,
EVBG,17.44,40.8,39.82,44.98,30.56,16.74,32.09,38.91,44.98,28.34
EVCM,47.55,72.36,6.79,43.98,21.18,48.63,65.2,26.7,43.98,29.94
EVER,65.38,49.51,64.29,58.82,49.83,67.73,48.47,67.86,58.82,51.33
EVGO,0.0,6.41,,98.08,19.98,0.0,6.41,,98.08,19.98
EVH,18.63,9.79,96.38,17.52,46.48,18.17,11.38,94.12,17.52,45.59
EVLV,,,,,,,,,,
EVOP,54.66,77.86,44.8,44.98,52.41,55.22,80.95,43.89,44.98,52.62
EVR,,,,,,,,,,
EVRG,74.48,86.67,43.9,83.67,70.87,73.97,84.44,43.9,83.67,70.03
EVRI,20.83,12.61,,78.57,26.72,19.39,12.61,,78.57,26.2
EVTC,78.37,51.49,81.71,79.25,66.78,74.95,52.12,82.19,79.25,66.21
EW,54.94,92.69,36.94,29.17,46.85,47.29,91.82,28.93,29.17,42.09
EWTX,13.21,51.61,,58.07,38.62,12.77,52.0,,58.07,38.67
EXAS,8.41,43.07,64.08,80.83,48.67,7.78,39.22,65.05,80.83,48.24
EXC,70.35,42.22,78.05,79.59,64.15,70.35,40.0,80.49,79.59,64.09
EXE,17.9,66.0,16.38,88.37,45.57,18.9,31.37,53.49,88.37,45.38
EXEL,56.34,82.64,45.77,51.69,51.44,56.17,78.06,43.36,51.69,49.44
EXLS,60.56,30.35,55.66,57.85,49.7,61.36,32.54,54.3,57.85,49.53
EXOD,50.0,22.9,,58.21,32.48,50.0,23.35,,58.21,32.65
EXP,49.19,77.78,55.56,43.94,53.06,49.19,75.76,73.81,43.94,56.99
EXPD,47.93,72.44,17.84,55.77,45.22,46.35,71.79,10.39,55.77,42.43
EXPE,56.0,71.04,61.96,77.97,64.9,66.03,74.62,63.81,77.97,68.29
EXPI,,,,,,,,,,
EXR,28.87,56.31,77.79,46.94,51.84,27.29,53.79,73.37,46.94,49.37
EXTR,30.86,69.71,46.88,61.29,44.77,32.25,68.6,61.63,61.29,49.26
EYE,9.36,18.97,33.82,93.42,36.41,15.07,15.08,39.15,93.42,38.63
EYPT,0.0,48.62,26.92,68.29,24.3,0.0,51.25,26.92,68.29,24.72
EZPW,,,,,,,,,,
F,44.96,25.86,68.85,27.59,44.25,47.12,27.59,71.25,27.59,45.86
FA,5.85,51.12,49.96,67.92,37.05,6.11,52.48,49.33,67.92,37.26
FANG,32.57,76.0,50.19,17.48,39.69,32.88,39.22,70.21,17.48,35.71
FARO,5.74,37.7,75.0,91.3,44.24,10.46,39.14,46.77,91.3,37.34
FBHS,37.1,67.12,51.34,63.51,54.68,40.67,63.06,46.3,63.51,52.86
FBRT,42.2,74.63,,21.09,43.54,42.43,71.57,,21.09,42.5
FCFS,,,,,,,,,,
FCN,,,,,,,,,,
FCPT,43.96,62.97,66.19,77.55,56.84,44.47,68.9,63.58,77.55,57.7
FCX,44.96,58.33,56.83,40.32,48.16,45.61,58.33,54.66,40.32,47.83
FDP,69.57,15.58,23.96,98.15,45.45,69.97,17.45,21.22,98.15,45.62
FDS,38.88,69.34,22.58,24.32,36.59,41.98,72.12,48.5,24.32,47.07
FDUS,51.51,85.57,,56.52,59.97,52.09,85.67,,56.52,60.2
FDX,62.74,46.47,46.51,25.0,45.32,61.89,49.68,44.19,25.0,45.21
FE,21.56,62.22,63.41,26.53,44.13,21.56,60.0,65.85,26.53,44.07
FELE,63.34,61.12,43.64,22.12,45.17,62.83,61.13,44.53,22.12,45.32
FFIV,67.13,78.67,16.74,82.85,45.39,68.88,83.42,15.84,82.85,46.06
FG,,,,,,,,,,
FHI,57.62,57.07,57.81,97.83,62.82,58.09,57.11,48.53,97.83,59.65
FI,52.97,63.19,51.09,54.72,54.63,52.13,65.18,52.6,54.72,55.36
FICO,29.13,88.45,46.15,36.68,49.47,29.3,92.96,45.25,36.68,49.91
FIGS,3.23,64.86,89.82,59.46,49.61,2.96,61.26,88.49,59.46,48.39
FIS,18.77,30.74,2.33,56.6,23.22,20.08,30.74,2.33,56.6,23.55
FIVE,31.98,60.47,75.87,69.74,59.75,37.1,62.21,79.78,69.74,62.48
FIVN,45.37,35.95,61.99,7.66,40.48,38.74,36.49,61.54,7.66,39.57
FIX,40.16,73.13,94.29,85.71,71.19,39.87,71.31,92.72,85.71,70.19
FIZZ,,,,,,,,,,
FL,11.29,14.41,30.05,70.27,27.28,37.84,33.33,30.34,70.27,36.53
FLEX,65.04,35.56,35.66,81.16,49.8,66.06,37.98,46.54,81.16,53.92
FLGT,35.55,10.74,17.61,52.16,16.12,27.99,10.97,16.78,52.16,15.14
FLIR,38.2,71.2,,34.78,48.98,39.05,71.68,,34.78,49.45
FLNC,,,,,,,,,,
FLNG,65.38,92.11,43.33,44.08,55.77,66.09,89.47,40.0,44.08,54.86
FLOC,,,,,,,,,,
FLR,63.54,58.02,36.91,50.0,49.55,70.41,58.02,44.22,50.0,53.48
FLS,63.99,31.6,63.12,48.67,50.94,63.53,33.99,55.47,48.67,49.13
FLT,58.57,71.83,74.63,83.02,69.94,59.47,72.53,73.35,83.02,69.96
FLUT,7.14,24.49,77.36,76.27,51.38,7.14,21.45,56.78,76.27,43.67
FLWS,0.0,19.0,5.69,5.26,0.0,0.0,21.15,11.32,5.26,0.0
FLXN,0.0,29.09,,51.22,26.84,0.0,31.05,,51.22,27.32
FLYW,62.19,15.17,43.94,2.7,25.69,63.09,11.04,81.25,2.7,38.05
FMC,23.86,67.78,15.63,40.0,31.65,20.92,66.67,14.44,40.0,30.27
FN,24.98,56.14,82.2,31.88,48.13,27.58,56.62,81.35,31.88,48.66
FNA,0.0,41.13,74.76,99.17,47.41,0.0,41.47,75.73,99.17,47.79
FND,13.63,36.64,53.06,26.32,32.79,14.3,38.9,51.12,26.32,32.71
FNMA,,,,,,,,,,
FOCS,46.7,16.75,90.62,25.0,50.17,29.77,19.02,85.29,25.0,45.33
FOE,35.43,44.44,,56.67,45.17,36.02,43.33,,56.67,45.1
FOLD,20.39,61.98,57.04,45.72,47.24,21.59,49.68,56.64,45.72,45.28
FOR,,,,,,,,,,
FORG,0.0,45.69,90.5,44.98,57.53,0.0,46.8,88.69,44.98,56.83
FORM,18.96,36.75,36.97,15.22,20.25,21.68,39.99,41.71,15.22,23.09
FOUR,78.66,29.2,88.69,54.38,66.89,76.14,29.94,86.88,54.38,65.83
FOX,77.78,72.58,22.22,90.32,57.17,82.88,55.04,22.22,90.32,53.93
FOXF,33.33,59.33,25.17,8.93,23.33,33.67,76.53,54.55,8.93,36.5
FPAC,,,,,,,,,,
FPI,,,,,,,,,,
FPRX,12.78,53.22,,48.98,44.41,12.22,53.19,,48.98,44.3
FR,27.06,53.84,69.08,54.42,48.5,25.72,51.43,62.69,54.42,45.52
FRHC,27.29,100.0,,89.19,67.97,27.37,100.0,,89.19,68.0
FRO,46.15,2.63,76.67,50.0,39.18,47.13,2.63,76.67,50.0,39.52
FROG,21.22,72.35,81.0,74.18,65.89,13.64,74.7,79.64,74.18,64.77
FRPH,,,,,,,,,,
FRPT,5.32,25.76,96.35,14.81,27.52,5.32,25.76,96.71,14.81,27.58
FRT,44.41,60.6,61.04,42.18,51.5,42.87,55.81,57.34,42.18,48.67
FRTA,59.16,32.32,,51.52,49.26,59.52,35.35,,51.52,50.22
FSLR,59.76,59.15,88.47,29.71,60.53,61.64,55.53,91.17,29.71,61.12
FSLY,24.58,22.49,49.77,31.57,28.14,23.84,23.48,49.77,31.57,28.25
FSS,37.0,56.38,79.0,68.14,57.73,34.48,56.97,76.96,68.14,56.63
FTAI,,,,,,,,,,
FTDR,,,,,,,,,,
FTI,41.27,43.33,66.97,93.33,58.17,33.76,40.0,60.7,93.33,53.77
FTK,20.45,33.33,97.44,100.0,52.27,19.55,33.33,97.37,100.0,51.99
FTNT,44.66,89.39,62.9,77.92,67.37,42.2,90.18,62.44,77.92,67.0
FTRE,57.14,5.79,23.94,51.53,20.29,63.04,8.39,25.87,51.53,22.16
FTV,47.9,73.06,19.08,39.13,42.74,49.79,72.58,65.13,39.13,56.9
FUBO,5.56,8.06,88.89,100.0,45.47,5.0,7.69,92.59,100.0,46.57
FUL,41.5,34.44,56.22,33.33,37.81,41.91,34.44,56.72,33.33,38.05
FULC,16.62,38.37,92.96,49.85,58.81,14.87,39.36,91.61,49.85,58.1
FUN,86.36,59.25,66.04,5.08,50.36,63.29,53.3,80.35,5.08,49.44
FUSN,8.3,46.21,50.0,48.98,36.03,8.1,46.31,49.65,48.98,35.84
FVRR,26.21,54.6,46.43,76.47,40.72,39.81,53.55,50.0,76.47,44.54
FWRD,62.55,63.46,58.14,80.77,55.06,62.1,65.38,55.81,80.77,54.73
FWRG,20.1,25.44,87.08,40.54,40.32,22.06,22.81,81.07,40.54,38.12
FYBR,18.84,45.83,42.74,71.43,39.75,20.0,46.23,57.69,71.43,44.62
G,70.13,71.36,39.53,98.11,64.42,70.45,72.04,31.76,98.11,62.34
GAIN,58.28,47.92,,63.04,46.48,59.19,50.2,,63.04,47.64
GAMB,71.77,89.52,69.48,88.14,68.66,27.68,69.93,74.35,88.14,57.5
GATO,42.11,49.93,,43.55,34.72,42.11,49.93,,43.55,34.72
GATX,28.64,35.9,83.72,88.46,55.66,28.79,35.9,72.51,88.46,52.34
GBDC,31.71,51.43,,43.48,39.99,31.71,50.4,,43.48,39.59
GBT,11.25,89.26,,48.98,55.8,11.41,86.13,,48.98,54.81
GBTG,44.68,28.98,58.14,29.84,36.25,44.25,31.04,56.79,29.84,35.92
GBX,75.52,25.0,76.74,78.85,57.01,77.62,22.44,81.92,78.85,58.46
GCMG,26.1,29.15,71.88,86.96,49.0,18.14,28.16,60.78,86.96,43.19
GCT,42.0,12.57,,36.13,18.33,43.47,14.51,,36.13,19.44
GD,86.51,81.81,53.46,28.95,63.31,86.68,79.1,57.14,28.95,63.78
GDDY,42.07,68.2,39.29,70.59,51.86,42.39,68.14,42.86,70.59,53.17
GDEN,39.82,41.26,11.88,30.51,18.23,41.8,52.66,21.18,30.51,24.11
GDOT,,,,,,,,,,
GDP,0.0,16.0,,62.58,24.5,0.0,17.65,,62.58,24.92
GDRX,71.57,58.54,61.65,6.67,39.66,72.75,60.06,61.83,6.67,40.25
GDS,3.92,6.11,16.29,91.24,19.03,3.53,7.0,15.38,91.24,18.7
GDYN,39.84,27.2,27.6,30.11,19.43,41.32,29.03,27.15,30.11,19.74
GE,19.7,83.39,83.25,92.92,68.6,19.15,68.52,62.27,92.92,58.47
GEF,86.39,43.11,10.89,63.72,43.86,86.64,44.01,11.88,63.72,44.44
GEHC,49.69,28.42,,28.28,32.08,50.31,31.0,,28.28,33.23
GEL,0.0,5.26,43.24,86.84,23.14,28.74,10.53,50.56,86.84,35.39
GEN,75.8,87.17,34.84,70.44,54.68,75.63,80.51,63.8,70.44,67.95
GEO,45.96,65.28,21.18,99.32,46.23,47.96,54.89,20.77,99.32,44.06
GERN,25.54,90.08,99.3,51.93,71.11,18.33,81.61,98.6,51.93,68.92
GES,42.48,50.94,63.97,14.47,34.5,44.24,51.43,73.67,14.47,38.29
GETY,39.65,65.99,25.0,8.82,24.93,35.13,63.91,28.57,8.82,24.75
GEVO,0.0,2.22,,97.78,24.22,0.0,2.22,,97.78,24.22
GFF,76.96,54.55,21.43,77.27,53.8,78.39,56.57,21.43,77.27,54.64
GFL,,,,,,,,,,
GGG,38.85,94.64,30.03,57.52,51.97,38.68,95.54,34.38,57.52,53.45
GH,0.0,22.29,84.47,96.67,53.12,0.0,24.27,85.44,96.67,53.77
GHC,,,,,,,,,,
GHM,5.22,11.31,90.1,94.69,39.86,5.14,11.31,89.11,94.69,39.55
GHRS,24.44,93.84,,47.06,48.46,23.61,94.15,,47.06,48.42
GIII,98.39,54.95,71.75,37.84,58.86,100.0,50.45,86.93,37.84,63.53
GILD,59.77,38.02,30.99,49.83,38.11,60.54,34.84,31.47,49.83,37.95
GIS,68.9,66.86,44.79,42.59,57.62,69.84,68.13,41.76,42.59,57.72
GKOS,0.0,39.46,67.96,20.83,31.63,0.0,40.36,68.93,20.83,32.11
GLBE,8.21,7.56,,39.47,14.84,8.82,8.34,,39.47,15.27
GLDD,90.7,26.15,30.71,71.43,42.83,92.29,29.25,34.32,71.43,45.08
GLP,63.96,13.16,39.8,84.21,44.3,60.03,15.79,25.56,84.21,40.92
GLPI,37.17,77.39,45.29,67.35,52.52,37.4,76.83,45.21,67.35,52.42
GLRE,,,,,,,,,,
GLUE,80.96,48.29,,75.25,57.48,78.24,47.91,,75.25,56.91
GLUU,32.88,48.02,,44.98,43.29,31.78,51.06,,44.98,44.21
GLW,21.76,45.88,27.5,55.07,34.88,24.04,48.25,27.95,55.07,36.18
GM,84.43,46.55,53.16,63.79,59.87,87.36,51.72,50.32,63.79,60.52
GME,17.7,43.47,4.48,67.11,26.31,17.63,8.85,8.96,67.11,20.94
GMED,77.32,53.36,85.75,38.33,63.88,79.84,58.32,87.26,38.33,65.8
GMRE,26.97,54.95,48.6,5.44,29.43,43.9,47.28,51.42,5.44,33.46
GMS,64.98,47.47,82.74,81.82,67.43,70.22,49.49,80.36,81.82,68.82
GMTX,8.44,,,48.64,30.0,7.97,,,48.64,29.89
GNE,51.69,11.11,95.12,95.92,46.33,50.67,11.11,97.56,95.92,46.62
GNK,47.22,69.23,23.68,15.38,32.78,46.0,64.74,58.27,15.38,41.72
GNL,65.53,44.18,69.11,82.31,58.04,66.25,40.5,67.71,82.31,56.89
GNRC,59.28,70.18,33.55,25.0,45.1,56.62,65.68,31.25,25.0,42.61
GNTX,51.62,87.07,50.8,10.34,45.71,52.64,89.66,51.05,10.34,46.52
GO,26.62,48.39,73.41,6.45,33.13,24.67,46.24,66.57,6.45,30.61
GOGO,11.5,63.29,47.44,60.0,35.13,15.03,65.08,42.53,60.0,35.0
GOLF,46.55,57.0,,67.8,53.98,50.15,59.36,,67.8,55.82
GOOD,21.82,39.22,,66.67,30.14,21.05,36.12,,66.67,28.66
GOOG,43.18,74.2,60.71,32.35,54.58,48.54,75.18,64.29,32.35,57.19
GOSS,16.23,43.8,,42.46,28.59,15.86,43.62,,42.46,28.47
GPC,31.54,44.22,57.02,44.74,44.54,33.32,44.85,58.93,44.74,45.69
GPCR,11.78,,,51.41,31.79,11.26,,,51.41,31.67
GPI,49.94,53.02,63.68,94.83,63.84,52.67,54.31,64.65,94.83,64.99
GPK,,,,,,,,,,
GPN,82.93,47.78,8.39,16.98,37.21,83.68,48.41,8.75,16.98,37.67
GPOR,17.14,56.0,40.71,68.14,39.82,18.77,64.71,38.55,68.14,41.81
GPRE,3.77,10.0,22.3,2.22,0.0,3.75,8.89,49.94,2.22,5.41
GPS,74.59,41.06,62.73,55.26,55.78,76.79,32.83,52.55,55.26,51.07
GPX,,,,,,,,,,
GRA,27.27,47.78,,56.67,42.93,26.96,47.78,,56.67,42.81
GRBK,,,,,,,,,,
GRC,80.54,45.01,81.8,46.02,55.23,80.54,44.26,77.97,46.02,53.9
GRMN,42.43,87.08,68.37,71.01,65.35,39.94,87.07,65.83,71.01,63.96
GRNT,,,,,,,,,,
GRPN,21.72,46.02,17.86,97.06,31.62,21.21,46.02,21.43,97.06,32.78
GRUB,10.61,29.14,,42.65,27.25,10.94,29.14,,42.65,27.36
GSAT,28.54,52.78,77.35,45.71,42.6,32.31,53.17,85.52,45.71,46.1
GSBD,86.4,93.33,62.5,10.87,60.46,86.83,94.52,64.71,10.87,61.62
GSHD,,,,,,,,,,
GSKY,92.62,47.26,,44.98,57.21,92.72,49.93,,44.98,58.28
GSL,94.39,91.67,93.02,71.15,82.11,94.5,91.67,93.02,71.15,82.14
GT,92.14,27.59,44.4,68.97,53.23,93.79,30.17,41.99,68.97,53.25
GTBIF,63.15,53.74,63.24,4.88,36.94,64.29,52.68,61.31,4.88,36.39
GTES,58.06,42.78,25.53,91.15,47.3,58.23,43.37,44.64,91.15,53.22
GTHX,13.21,66.12,76.06,48.99,53.4,12.96,60.0,74.83,48.99,51.8
GTLB,1.89,53.86,94.57,17.7,59.02,1.87,51.81,98.19,17.7,60.44
GTLS,37.95,23.62,97.76,55.75,52.76,38.0,24.22,95.85,55.75,52.35
GTS,,,,,,,,,,
GTX,82.7,92.24,38.71,75.86,62.51,86.45,93.1,32.74,75.86,61.38
GTY,41.23,60.72,60.47,72.79,52.31,40.79,68.35,57.59,72.79,53.24
GVA,64.37,40.73,42.89,76.79,51.81,54.44,39.82,44.06,76.79,49.41
GWPH,0.0,53.77,,51.22,32.85,0.0,52.98,,51.22,32.65
GWRE,9.12,30.08,38.46,87.96,40.94,7.43,34.0,37.56,87.96,41.05
GWW,,,,,,,,,,
GXO,20.42,26.92,85.57,42.31,42.47,16.39,28.21,79.67,42.31,40.0
H,15.36,46.06,61.83,22.03,37.45,17.25,76.61,45.35,22.03,38.23
HA,,,,,,,,,,
HAE,71.62,58.09,57.24,34.17,51.72,74.41,59.14,68.06,34.17,56.3
HAL,63.76,70.0,42.89,28.33,50.61,62.11,73.33,56.19,28.33,53.16
HALO,67.02,45.45,54.23,47.0,49.33,62.81,33.55,54.55,47.0,47.4
HAS,18.0,29.65,12.42,69.49,29.55,20.54,42.01,10.92,69.49,32.0
HASI,52.91,67.29,86.31,19.05,56.8,33.46,59.95,73.61,19.05,45.14
HAYN,52.93,27.68,93.07,46.9,52.98,52.47,27.67,94.06,46.9,53.15
HAYW,59.38,66.78,12.06,61.06,42.49,69.19,67.97,13.29,61.06,45.64
HBI,54.84,30.18,17.33,72.97,33.83,57.98,29.73,17.18,72.97,34.33
HCA,63.4,88.1,56.5,74.19,66.94,68.33,88.1,52.08,74.19,66.62
HCC,15.25,75.0,54.5,24.19,34.92,16.67,75.0,58.07,24.19,36.19
HCCI,71.13,57.5,94.06,34.96,63.45,78.06,23.26,87.13,34.96,54.6
HCKT,59.16,36.44,19.46,43.25,23.77,71.29,38.4,17.19,43.25,24.45
HCP,3.08,45.12,95.48,58.39,65.67,2.81,46.23,93.21,58.39,64.72
HCSG,43.93,60.54,19.2,92.45,41.15,31.29,61.16,18.21,92.45,37.81
HD,30.91,75.42,42.23,60.53,44.8,33.17,77.95,40.63,60.53,45.22
HDSN,79.01,93.75,30.51,14.16,45.33,78.59,94.06,33.47,14.16,46.18
HEAR,86.81,18.35,61.78,58.06,46.56,88.18,19.43,58.06,58.06,46.06
HEES,,,,,,,,,,
HEI,27.91,81.58,90.62,57.89,64.69,27.69,81.58,90.62,57.89,64.63
HELE,62.41,58.58,10.94,5.56,31.54,63.27,62.01,11.12,5.56,32.87
HEP,70.83,89.47,60.0,28.29,55.6,70.83,86.84,60.0,28.29,55.05
HES,20.89,20.0,57.81,65.78,38.41,21.57,23.53,53.26,65.78,38.56
HESM,74.86,86.84,69.02,60.53,70.44,72.96,84.21,53.33,60.53,66.39
HFC,,,,,,,,,,
HGV,81.82,48.71,100.0,40.68,66.94,31.35,49.6,58.51,40.68,42.58
HIBB,73.96,51.58,44.78,51.32,48.73,80.58,50.85,47.76,51.32,50.95
HII,60.41,55.61,18.08,15.79,35.57,60.63,54.7,25.83,15.79,37.73
HIMS,20.0,47.81,96.15,100.0,69.62,14.88,45.57,96.15,100.0,68.02
HIMX,40.33,30.79,20.53,85.51,33.03,35.07,32.65,16.22,85.51,30.85
HIW,,,,,,,,,,
HL,19.18,25.0,52.64,56.45,35.02,16.57,25.0,52.64,56.45,34.26
HLF,95.16,75.51,13.54,33.33,51.33,95.21,75.51,12.7,33.33,51.18
HLI,55.14,75.44,43.03,70.27,56.66,55.56,72.66,7.56,70.27,43.54
HLIO,64.9,38.89,19.02,8.41,26.61,69.82,37.09,21.58,8.41,28.17
HLIT,93.88,60.97,55.29,6.45,46.82,90.18,60.97,78.39,6.45,52.8
HLT,14.09,94.75,32.56,55.93,46.43,15.82,84.84,64.96,55.93,55.98
HLX,51.06,73.33,68.14,11.67,39.16,49.5,80.0,57.78,11.67,38.14
HMC,36.6,39.22,38.32,44.83,36.26,37.85,43.97,36.13,44.83,36.7
HNGR,81.19,42.33,,53.33,60.99,84.03,44.78,,53.33,62.64
