ticker,valuation_score_sf,quality_score_sf,growth_score_sf,sentiment_score_sf,potential_score_sf,valuation_score_fmp,quality_score_fmp,growth_score_fmp,sentiment_score_fmp,potential_score_fmp,in_sample
BHC,42.59,59.7,46.49,9.76,29.76,42.59,58.87,52.38,9.76,31.66,True
BHE,61.32,28.29,52.71,37.68,37.2,61.32,28.29,52.38,37.68,37.1,False
BHVN,2.52,16.11,,55.01,25.15,2.52,16.42,,55.01,25.26,False
BIGC,29.31,39.87,37.1,10.58,21.82,29.31,39.85,37.1,10.58,21.82,False
BIIB,87.48,34.71,26.76,41.71,34.74,87.48,34.71,26.76,41.71,34.74,True
BILL,38.33,75.75,98.19,11.31,66.93,38.33,74.53,97.74,11.31,66.46,True
BIO,4.6,70.15,36.89,30.0,30.0,4.6,70.97,37.86,30.0,30.47,False
BJ,38.45,61.29,49.4,61.29,50.72,38.45,61.29,51.45,61.29,51.1,True
BJRI,46.45,18.42,45.53,59.46,38.01,46.45,23.68,45.53,59.46,39.06,True
BKD,20.45,35.57,24.63,35.48,21.2,20.45,33.91,63.54,35.48,34.35,True
BKE,69.19,95.97,31.55,77.63,58.93,69.19,96.64,32.06,77.63,59.24,True
BKI,18.91,89.3,48.42,44.98,50.32,18.91,89.71,48.87,44.98,50.62,False
BKNG,18.23,94.19,67.34,81.36,65.76,18.23,96.53,72.05,81.36,67.85,True
BKR,31.48,50.0,45.99,65.0,45.78,31.48,50.0,50.33,65.0,46.57,True
BKSY,1.28,40.53,,86.96,29.44,1.28,40.53,,86.96,29.44,False
BL,75.4,70.3,47.06,47.26,51.11,75.4,67.4,47.51,47.26,50.78,True
BLBD,39.61,59.48,94.23,29.31,52.01,39.61,60.34,94.23,29.31,52.18,True
