ticker,roe_5y_med_sf,roe_5y_med_fmp,roic_5y_med_sf,roic_5y_med_fmp,gross_margin_5y_med_sf,gross_margin_5y_med_fmp,operating_margin_5y_med_sf,operating_margin_5y_med_fmp,fcf_margin_5y_med_sf,fcf_margin_5y_med_fmp,revenue_growth_3yr_sf,revenue_growth_3yr_fmp,revenue_trend_5y_sf,revenue_trend_5y_fmp,ebitda_trend_5y_sf,ebitda_trend_5y_fmp,fcf_trend_5y_sf,fcf_trend_5y_fmp,revenue_cv_5y_sf,revenue_cv_5y_fmp,op_inc_cv_5y_sf,op_inc_cv_5y_fmp,piotroski_f_sf,piotroski_f_fmp,altman_z_sf,altman_z_fmp,n_yrs_history_sf,n_yrs_history_fmp
ABNB,0.3147883975273419,0.3147883975273419,56.37647058823529,56.37647058823529,0.8215263721871652,0.8215263721871652,0.1530704850257134,0.1530704850257134,-0.23001776198934282,0.3916507008167793,0.14970606098682526,0.14970606098682526,0.24972929772092067,0.24972288607674384,,2.042958665483004,,0.44381541016776893,0.40021919873945827,0.40020809917244743,3.8810069678199746,4.485270362647514,7.0,7.0,5.05,5.05,5,5.0
ABOS,-0.2270215865448285,,-2.915001869065886,,,,-5.50974930362117,,,,,,,,,,,,,,0.840198119339345,,2.0,,6.76,,5,
ABR,0.10141476461813338,,0.02632287367593058,,0.3573293223257703,,0.25338039600973006,,0.29851508363064294,,0.10366239964216684,,0.35365228613944805,,0.2438523753468284,,,,0.6199652855485447,,0.6215607125717513,,6.0,,-0.35,,5,
ABSI,-0.5755835049934964,,-1.1924848197241127,,,,-16.470793983910458,,-15.850683722981914,,-0.11178079477313496,,0.008685106216510434,,,,,,0.11252572881382324,,0.49503296755785986,,4.0,,8.1,,5,
ABT,0.18786072347920335,0.18898217303603554,0.15935000459685575,0.15930972678600153,0.5614963461846838,0.5083432657926102,0.1626936829558999,0.1626936829558999,0.16539528432732317,0.16539528432732317,-0.019700152977823904,-0.019700152977823904,0.02880601784705253,0.02880601784705253,0.004573405073036846,-0.0019921830531441534,-0.03476150777106839,-0.03476150777106839,0.08980504023813862,0.08980504023813862,0.1845656210800872,0.21580469698082352,6.0,6.0,5.03,4.99,5,5.0
ABTL,-0.43055400494453566,,-1.9895672019703292,,0.2966357574000571,,-0.08122767662262248,,-0.015645459898483805,,,,,,,,,,0.04758431783220194,,0.11099966320736362,,4.0,,1.17,,2,
ABUS,-0.6871380331641797,,-6.258745220223765,,,,-6.520749908991627,,-6.219603203494722,,-0.6023145464282449,,0.03488114436260742,,,,,,0.8363052416976423,,0.11756529873587108,,2.0,,6.99,,5,
ABVC,-6.213177308166989,,-2.685740080792392,,0.7046607333805603,,-15.585354661816098,,-17.679385528623513,,-0.27510894786094287,,-0.42302374920484176,,,,,,0.7533219980180683,,0.6391029943709331,,6.0,,-6.55,,3,
AC,0.041016211101351695,,0.08356709800018097,,-0.2998956557842412,,-0.9116803670426304,,,,-0.0698480992628302,,-0.12258466781077985,,,,,,0.22370695901992954,,0.2305324323653031,,5.0,,31.08,,5,
ACA,0.05633653947785646,,0.05197718074991467,,0.19229602669093115,,0.0768901513677575,,0.04979375368296995,,0.07044125486368613,,0.06942015397651513,,0.11671070844341347,,0.1784526854218991,,0.11161380605808342,,0.2779206332834935,,4.0,,3.62,,5,
