ticker,sf,fmp_orig,v1_addcomp,v2_subDR,v3_subDR_AE_OCL,v1_pct,v2_pct,v3_pct,orig_pct
GERN,88298000.0,88298000.0,9569000.0,88298000.0,9569000.0,-89.16283494529887,0.0,-89.16283494529887,0.0
RGEN,111683000.0,126787000.0,47238000.0,113544000.0,48661000.0,-57.70350008506219,1.6663234332888621,-56.42935809389075,13.52399201310853
BSY,814334000.0,814334000.0,41957000.0,551610000.0,41957000.0,-94.84769148776792,-32.26243777123391,-94.84769148776792,0.0
AGNC,77785000000.0,0.0,0.0,0.0,217000000.0,-100.0,-100.0,-99.72102590473742,-100.0
AORT,66823000.0,66823000.0,26190000.0,66823000.0,26190000.0,-60.806907801206165,0.0,-60.806907801206165,0.0
NVDA,18047000000.0,10631000000.0,4473000000.0,9867000000.0,4473000000.0,-75.21471712750042,-45.32609297944256,-75.21471712750042,-41.092702388208565
DCI,782500000.0,782500000.0,495500000.0,762800000.0,495500000.0,-36.677316293929714,-2.517571884984026,-36.677316293929714,0.0
OPCH,780146000.0,780146000.0,639335000.0,780146000.0,639335000.0,-18.0493138463826,0.0,-18.0493138463826,0.0
SPSC,146684000.0,146684000.0,13160000.0,72428000.0,13160000.0,-91.0283330151891,-50.6231081781244,-91.0283330151891,0.0
IBRX,538936000.0,54944000.0,14191000.0,54944000.0,14364000.0,-97.36684875384091,-89.80509745127436,-97.33474846735048,-89.80509745127436
GDYN,55544000.0,55544000.0,17590000.0,55544000.0,11198000.0,-68.33141293389025,0.0,-79.83940659657208,0.0
GRBK,237870000.0,229527000.0,93364000.0,192459000.0,93364000.0,-60.7499894900576,-19.090679783074787,-60.7499894900576,-3.507377979568672
CHWY,2206700000.0,2206723000.0,1175869000.0,2206723000.0,1175869000.0,-46.7136901255268,0.0010422803280917207,-46.7136901255268,0.0010422803280917207
VRDN,47874000.0,47874000.0,2656000.0,47586000.0,2656000.0,-94.45210343819193,-0.6015791452562977,-94.45210343819193,0.0
RPD,630216000.0,630216000.0,80296000.0,169098000.0,80296000.0,-87.25897152722241,-73.16824707719259,-87.25897152722241,0.0
SPOT,4755313925.0,4449921457.0,1300983531.0,3766933512.0,965982949.0,-72.64147958433679,-20.78475635023402,-79.68624229156438,-6.422130543148105
APPF,63280000.0,63280000.0,6651000.0,63280000.0,6651000.0,-89.48957016434893,0.0,-89.48957016434893,0.0
DOMO,238010000.0,237800000.0,12934000.0,52550000.0,9120000.0,-94.56577454728793,-77.92109575227931,-96.1682282257048,-0.0882315869081131
RBA,953300000.0,1331300000.0,991500000.0,1331300000.0,965300000.0,4.007133116542536,39.651736074687925,1.2587852722123152,39.651736074687925
